Swarm ID,Start Time,End Time,Duration,Origin Latitude,Origin Longitude,Centre Latitude,Centre Longitude,Number of Earthquakes,Magnitudes,Time Intervals (h),Distance Intervals (km),Minimum Time Limit (h),Minimum Distance Limit (km),Average Time Interval (h),Average Distance Interval (km)
114,2015-05-24 00:39:37.200000+00:00,2015-05-25 02:06:24.830000+00:00,1 days 01:26:47.630000,-16.8041,-14.1759,-16.7795,-14.2148,7,"[5.0, 4.8, 6.3, 4.9, 4.9, 4.9, 5.2]","[3.462125, 0.7674388888888889, 0.7798694444444445, 0.6417166666666666, 0.6068222222222222, 19.188591666666664]","[11.241566988295796, 5.659136996999435, 2.914898356381018, 17.496999396786144, 2.588028835008342, 4.579759673035831]",19.188591666666664,17.496999396786144,4.241093981481481,7.413398374417761
115,2015-06-27 01:41:59.800000+00:00,2015-06-27 02:51:23.740000+00:00,0 days 01:09:23.940000,-52.2345,-4.7448,-52.35785,-4.722149999999999,2,"[4.7, 5.0]",[1.15665],[27.624271656081817],1.15665,27.624271656081817,1.15665,27.624271656081817
116,2015-08-08 19:56:44.390000+00:00,2015-08-09 02:39:55.390000+00:00,0 days 06:43:11,-13.9774,-14.1709,-13.94405,-14.3184,3,"[4.8, 5.0, 5.1]","[1.313302777777778, 5.4064194444444444]","[32.68916919548249, 6.715850727514394]",5.4064194444444444,32.68916919548249,3.359861111111111,19.702509961498443
117,2015-09-09 10:27:28.770000+00:00,2015-09-10 07:24:45.410000+00:00,0 days 20:57:16.640000,-10.9052,-13.4273,-11.05025,-13.0569,5,"[4.6, 4.6, 4.9, 4.5, 4.7]","[0.7928472222222223, 0.3241527777777778, 8.247430555555555, 11.590191666666668]","[47.950567095557496, 43.37373476233626, 24.705212096440373, 18.07784736166544]",11.590191666666668,47.950567095557496,5.238655555555555,33.526840328999896
118,2015-09-09 10:30:55.020000+00:00,2015-09-09 10:41:14.160000+00:00,0 days 00:10:19.140000,-11.1905,-12.7465,-11.1289,-12.824300000000001,3,"[4.7, 4.7, 4.8]","[0.11757222222222222, 0.05441111111111111]","[21.786242649469898, 7.904433933868291]",0.11757222222222222,21.786242649469898,0.08599166666666666,14.845338291669094
119,2015-12-23 16:55:09.460000+00:00,2015-12-25 12:00:58.950000+00:00,1 days 19:05:49.490000,-54.1759,-1.4943,-54.0637,-1.85425,7,"[5.8, 4.7, 4.6, 4.6, 4.6, 4.6, 4.8]","[41.20897777777778, 0.15488888888888888, 0.022047222222222225, 1.0756444444444444, 0.058055555555555555, 0.5774666666666667]","[40.58232311830341, 19.6439657985496, 25.923320942687525, 42.594793505376295, 13.158315217222814, 22.6951966508188]",41.20897777777778,42.594793505376295,7.1828467592592595,27.432985872159737
120,2015-12-24 18:43:21.800000+00:00,2015-12-24 21:22:37.890000+00:00,0 days 02:39:16.090000,-3.554,-12.0356,-3.5144,-11.963000000000001,3,"[4.6, 4.3, 4.5]","[1.847502777777778, 0.8069666666666666]","[30.150285178681898, 12.490837156927235]",1.847502777777778,30.150285178681898,1.3272347222222223,21.320561167804566
121,2016-04-19 18:38:44.450000+00:00,2016-04-19 20:02:30.060000+00:00,0 days 01:23:45.610000,-6.9015,-12.0844,-6.9307,-11.947099999999999,2,"[4.4, 4.6]",[1.3960027777777777],[31.02609378430219],1.3960027777777777,31.02609378430219,1.3960027777777777,31.02609378430219
122,2016-04-30 00:20:47.620000+00:00,2016-04-30 00:36:03.170000+00:00,0 days 00:15:15.550000,-31.1684,-13.3411,-31.19115,-13.46155,3,"[4.8, 4.8, 5.4]","[0.13335, 0.12096944444444445]","[22.857895270474927, 20.261268798504382]",0.13335,22.857895270474927,0.12715972222222222,21.559582034489654
123,2016-06-10 09:26:53.070000+00:00,2016-06-10 14:49:59.110000+00:00,0 days 05:23:06.040000,-7.4584,-13.6003,-7.540850000000001,-13.40695,3,"[5.5, 4.4, 4.8]","[5.3654472222222225, 0.01956388888888889]","[7.149488841328826, 43.38565612186766]",5.3654472222222225,43.38565612186766,2.6925055555555555,25.267572481598243
